Nome Original,Nome Traduzido
"Dip, carrot, homemade","Molho, cenoura, caseiro  "
"Dip, capsicum, commercial, regular","Molho, pimentão, comercial, regular  "
"Dip, chilli & nut, commercial, regular","Molho, pimenta & noz, comercial, regular  "
"Dip, crab, commercial, regular","Molho, caranguejo, comercial, regular"
"Dip, cream cheese based, flavoured, commercial","Molho, à base de cream cheese, saborizado, comercial  "
"Dip, cream cheesed based, flavoured, homemade","Molho, à base de cream cheese, saborizado, caseiro  "
"Dip, cucumber & yoghurt, commercial","Molho, pepino e iogurte, comercial  "
"Dip, cucumber & yoghurt, homemade","Molho, pepino e iogurte, caseiro  "
"Dip, eggplant, commercial","Molho, berinjela, comercial"
"Dip, eggplant, homemade","Molho, berinjela, caseiro  "
"Dip, hummus, commercial","Molho, homus, comercial  "
"Dip, hummus, homemade","Molho, homus, caseiro  "
"Dip, olive, commercial","Molho, azeitona, comercial  "
"Dip, pumpkin or sweet potato, commercial","Molho, abóbora ou batata-doce, comercial"
"Dip, salmon, commercial, regular","Molho, salmão, comercial, regular  "
"Dip, sour cream-based, commercial","Molho, à base de creme azedo, comercial  "
"Dip, sour cream based, homemade","Molho, à base de creme azedo, caseiro  "
"Dip, spinach & fetta, commercial","Molho, espinafre & feta, comercial  "
"Dip, sundried tomato, commercial","Molho, tomate seco, comercial"
"Dip, tomato &/or capsicum, homemade","Dip de tomate e/ou pimentão, caseiro  "
"Dip, taramosalata, commercial","Dip de taramosalata, comercial  "
"Dip, taramosalata, homemade","Dip de taramosalata, caseiro  "
"Dip, not further defined","Dip, não definido  "
"Sushi, beef, with seaweed","Sushi de carne, com alga"
"Sushi, bacon & vegetable, with seaweed","Sushi, bacon e vegetais, com alga  "
"Sushi, California roll, commercial","Sushi, rolo da Califórnia, comercial  "
"Sushi, chicken, with seaweed","Sushi, frango, com alga  "
"Sushi, chicken & avocado, with seaweed","Sushi, frango e abacate, com alga  "
"Sushi, chicken & avocado, without seaweed","Sushi, frango e abacate, sem alga"
"Sushi, crab stick, with seaweed","Sushi, palito de caranguejo, com alga  "
"Sushi, egg, with seaweed","Sushi, ovo, com alga  "
"Sushi, fish, with seaweed","Sushi, peixe, com alga  "
"Sushi, fish, without seaweed","Sushi, peixe, sem alga  "
"Sushi, fried bean curd (inari)","Sushi, tofu frito (inari)"
"Sushi, prawn, with seaweed","Sushi, camarão, com alga  "
"Sushi, prawn, without seaweed","Sushi, camarão, sem alga  "
"Sushi, prawn tempura, with seaweed","Sushi, camarão tempura, com alga  "
"Sushi, salmon & avocado, with seaweed","Sushi, salmão & abacate, com alga  "
"Sushi, salmon, with seaweed","Sushi, salmão, com alga"
"Sushi, salmon, without seaweed","Sushi, salmão, sem alga  "
"Sushi, tuna, with seaweed","Sushi, atum, com alga  "
"Sushi, tuna, without seaweed","Sushi, atum, sem alga  "
"Sushi, tuna & avocado, with seaweed","Sushi, atum & abacate, com alga  "
"Sushi, tuna & avocado, without seaweed","Sushi, atum & abacate, sem alga"
"Sushi, vegetable, with seaweed","Sushi, vegetal, com alga  "
"Sushi, not further defined","Sushi, não definido  "
"Cabbage roll, stuffed with meat & rice","Charuto de repolho, recheado com carne e arroz  "
"Cabbage roll, stuffed with tomato & rice","Charuto de repolho, recheado com tomate e arroz  "
"Capsicum, stuffed with meat & rice","Pimentão, recheado com carne e arroz"
"Capsicum, stuffed with tomato & rice","Pimentão, recheado com tomate e arroz  "
"Mixed vegetables, stuffed with meat & rice","Legumes mistos, recheados com carne e arroz  "
"Mushroom, stuffed with cheese & bacon","Cogumelo, recheado com queijo e bacon  "
"Pepper, stuffed with cheese","Pimenta, recheada com queijo  "
"Vine leaf, stuffed with rice & meat, homemade from basic ingredients","Folha de videira, recheada com arroz e carne, caseira com ingredientes básicos"
"Vine leaf, stuffed with rice & tomato, commercial","Folha de videira, recheada com arroz e tomate, comercial  "
"Vine leaf, stuffed with rice & tomato, homemade from basic ingredients","Folha de videira, recheada com arroz e tomate, caseira com ingredientes básicos  "
"Barramundi, raw","Barramundi, cru  "
"Barramundi, baked, roasted, grilled, BBQ'd or fried, no added fat","Barramundi, assado, tostado, grelhado, na churrasqueira ou frito, sem gordura adicionada  "
"Barramundi, baked, roasted, grilled, BBQ'd, fried or deep fried, butter, dairy blend or margarine","Barramundi, assado, tostado, grelhado, na churrasqueira, frito ou frito em imersão, manteiga, mistura láctea ou margarina"
"Barramundi, baked, roasted, grilled, BBQ'd, fried or deep fried, canola oil","Barramundi, assado, torrado, grelhado, churrasco, frito ou frito em imersão, óleo de canola  "
"Barramundi, baked, roasted, grilled, BBQ'd, fried or deep fried, olive oil","Barramundi, assado, torrado, grelhado, churrasco, frito ou frito em imersão, óleo de oliva  "
"Barramundi, baked, roasted, grilled, BBQ'd, fried or deep fried, other oil","Barramundi, assado, torrado, grelhado, churrasco, frito ou frito em imersão, outro óleo  "
"Barramundi, baked, roasted, grilled, BBQ'd, fried or deep fried, fat not further defined","Barramundi, assado, torrado, grelhado, churrasco, frito ou frito em imersão, gordura não definida  "
"Barramundi, boiled, microwaved, steamed or poached, no added fat","Barramundi, cozido, no micro-ondas, cozido no vapor ou escalfado, sem gordura adicionada"
"Barramundi, coated, baked, roasted, fried, deep fried, grilled or BBQ'd, fat not further defined","Barramundi, empanado, assado, torrado, frito, frito em imersão, grelhado ou na churrasqueira, gordura não definida  "
"Barramundi, coated, takeaway outlet, deep fried","Barramundi, empanado, ponto de venda para viagem, frito em imersão  "
"Bassa (basa), raw","Bassa (basa), cru  "
"Bassa (basa), baked, roasted, grilled, BBQ'd or fried, no added fat","Bassa (basa), assado, torrado, grelhado, na churrasqueira ou frito, sem gordura adicionada  "
"Bassa (basa), baked, roasted, grilled, BBQ'd, fried or deep fried, fat not further defined","Bassa (basa), assado, torrado, grelhado, na churrasqueira, frito ou frito em imersão, gordura não definida"
"Bassa (basa), boiled, microwaved, steamed or poached, with or without added fat","Bassa (basa), cozida, no micro-ondas, no vapor ou escalfada, com ou sem gordura adicionada  "
"Bassa (basa), coated, baked, roasted, fried, deep fried, grilled or BBQ'd, fat not further defined","Bassa (basa), empanada, assada, tostada, frita, frita em imersão, grelhada ou na churrasqueira, gordura não definida  "
"Blue grenadier (hoki), raw","Grenadier azul (hoki), cru  "
"Blue grenadier (hoki), baked, roasted, fried, grilled or BBQ'd, no added fat","Grenadier azul (hoki), assado, tostado, frito, grelhado ou na churrasqueira, sem gordura adicionada  "
"Blue grenadier (hoki), baked, roasted, grilled, BBQ'd, fried or deep fried, fat not further defined","Grenadier azul (hoki), assado, tostado, grelhado, na churrasqueira, frito ou frita em imersão, gordura não definida"
"Blue grenadier (hoki), boiled, microwaved, steamed or poached, with or without added fat","Grenadier azul (hoki), cozido, no micro-ondas, no vapor ou escalfado, com ou sem gordura adicionada  "
"Blue grenadier (hoki), coated, baked, roasted, grilled, BBQ'd, fried or deep fried, fat not further defined","Grenadier azul (hoki), empanado, assado, grelhado, na churrasqueira, frito ou frito em imersão, gordura não definida  "
"Blue grenadier (hoki), coated, takeaway outlet, deep fried","Grenadier azul (hoki), empanado, de estabelecimento de comida para viagem, frito em imersão  "
"Blue grenadier (hoki), coated, packaged frozen, baked, roasted, fried, grilled or BBQ'd, with or without added fat","Grenadier azul (hoki), empanado, congelado embalado, assado, grelhado, frito, grelhado ou na churrasqueira, com ou sem gordura adicionada  "
"Blue-eye trevalla, flesh, raw","Trevalla de olho azul, carne, crua"
"Blue-eye trevalla, baked, roasted, grilled, BBQ'd, fried or deep fried, fat not further defined","Trevalla olho azul, assado, torrado, grelhado, na churrasqueira, frito ou frito em imersão, gordura não definida  "
"Blue-eye trevalla, coated, takeaway outlet, deep fried","Trevalla olho azul, empanado, ponto de venda para viagem, frito em imersão  "
"Bream, raw","Pargo, cru  "
"Bream, baked, roasted, fried, grilled or BBQ'd, no added fat","Pargo, assado, torrado, frito, grelhado ou na churrasqueira, sem gordura adicionada  "
"Bream, baked, roasted, grilled, BBQ'd, fried or deep fried, fat not further defined","Pargo, assado, torrado, grelhado, na churrasqueira, frito ou frito em imersão, gordura não definida"
"Bream, boiled, microwaved, steamed or poached, with or without added fat","Dourada, cozida, no micro-ondas, no vapor ou escalfada, com ou sem gordura adicionada  "
"Cod, Atlantic, flesh, raw","Bacalhau, atlântico, carne, crua  "
"Cod, Pacific, flesh, raw","Bacalhau, pacífico, carne, crua  "
"Cod or hake, raw","Bacalhau ou pescada, crua  "
"Cod or hake, baked, roasted, fried, grilled or BBQ'd, no added fat","Bacalhau ou pescada, assado, torrado, frito, grelhado ou na churrasqueira, sem gordura adicionada"
"Cod or hake, baked, roasted, grilled, BBQ'd, fried or deep fried, fat not further defined","Bacalhau ou pescada, assado, grelhado, churrasco, frito ou frito em imersão, gordura não definida  "
"Cod or hake, boiled, microwaved, steamed or poached, with or without added fat","Bacalhau ou pescada, cozido, no micro-ondas, no vapor ou escalfado, com ou sem gordura adicionada  "
"Cod or hake, coated, baked, roasted, grilled, BBQ'd, fried or deep fried, fat not further defined","Bacalhau ou pescada, empanado, assado, grelhado, churrasco, frito ou frito em imersão, gordura não definida  "
"Cod or hake, coated, takeaway outlet, deep fried","Bacalhau ou pescada, empanado, de estabelecimento de comida para viagem, frito em imersão  "
"Cod or hake, coated, packaged frozen, baked, roasted, fried, grilled or BBQ'd, with or without added fat","Bacalhau ou pescada, empanado, congelado embalado, assado, grelhado, frito, grelhado ou churrasco, com ou sem gordura adicionada"
"Dugong, wild caught, flesh, raw","Dugongo, captura selvagem, carne, crua  "
"Dugong, wild caught, flesh, cooked","Dugongo, captura selvagem, carne, cozida  "
"Flathead, raw","Flathead, cru  "
"Flathead, baked, roasted, fried, grilled or BBQ'd, no added fat","Flathead, assado, torrado, frito, grelhado ou na churrasqueira, sem gordura adicionada  "
"Flathead, baked, roasted, grilled, BBQ'd, fried or deep fried, fat not further defined","Flathead, assado, torrado, grelhado, na churrasqueira, frito ou frito em imersão, gordura não definida"
"Flathead, boiled, microwaved, steamed or poached, with or without added fat","Cabeça-chata, cozida, no micro-ondas, no vapor ou escalfada, com ou sem gordura adicionada  "
"Flathead, coated, baked, roasted, fried, deep-fried, grilled or BBQ'd, fat not further defined","Cabeça-chata, empanada, assada, tostada, frita, frita em imersão, grelhada ou na churrasqueira, gordura não definida  "
"Flathead, coated, takeaway outlet, deep fried","Cabeça-chata, empanada, de estabelecimento de comida para viagem, frita em imersão  "
"Flounder, raw","Sole, crua  "
"Flounder, baked, roasted, fried, grilled or BBQ'd, no added fat","Sole, assada, tostada, frita, grelhada ou na churrasqueira, sem gordura adicionada"
"Flounder, baked, roasted, grilled, BBQ'd, fried or deep fried, fat not further defined","Sole, assada, tostada, grelhada, churrasco, frita ou frita em imersão, gordura não definida  "
"Garfish, raw","Peixe-agulha, cru  "
"Garfish, coated, takeaway outlet, deep fried","Peixe-agulha, empanado, ponto de venda para viagem, frito  "
"Gemfish, raw","Peixe-gema, cru  "
"Gemfish, boiled, microwaved, steamed or poached, no added fat","Peixe-gema, cozido, no micro-ondas, no vapor ou escalfado, sem gordura adicionada"
"Grouper, raw","Garoupa, crua  "
"Grouper, baked, roasted, fried, grilled or BBQ'd, no added fat","Garoupa, assada, torrada, frita, grelhada ou na churrasqueira, sem gordura adicionada  "
"Grouper, baked, roasted, fried, grilled or BBQ'd, fat not further defined","Garoupa, assada, torrada, frita, grelhada ou na churrasqueira, gordura não definida  "
"Grouper, coated, baked, roasted, grilled, or BBQ'd, fat not further defined","Garoupa, empanada, assada, torrada, grelhada ou na churrasqueira, gordura não definida  "
"John dory, raw","Peixe-espinho, cru"
"John dory, baked, roasted, fried, grilled or BBQ'd, no added fat","Dourada, assada, tostada, frita, grelhada ou na churrasqueira, sem gordura adicionada  "
"John dory, baked, roasted, grilled, BBQ'd, fried or deep fried, fat not further defined","Dourada, assada, tostada, grelhada, na churrasqueira, frita ou frita em imersão, gordura não definida  "
"John dory, coated, baked, roasted, fried, or BBQ'd, fat not further defined","Dourada, empanada, assada, tostada, frita ou na churrasqueira, gordura não definida  "
"Ling, raw","Lingüiça, crua  "
"Ling, baked, roasted, fried, grilled or BBQ'd, no added fat","Lingüiça, assada, tostada, frita, grelhada ou na churrasqueira, sem gordura adicionada"
"Ling, baked, roasted, grilled, BBQ'd, fried or deep fried, fat not further defined","Ling, assada, tostada, grelhada, churrasqueada, frita ou frita em imersão, gordura não definida  "
"Ling, coated, baked, roasted, grilled, BBQ'd, fried or deep fried, fat not further defined","Ling, empanada, assada, tostada, grelhada, churrasqueada, frita ou frita em imersão, gordura não definida  "
"Mackerel, raw","Cavala, crua  "
"Mackerel, baked, roasted, fried, grilled or BBQ'd, no added fat","Cavala, assada, tostada, frita, grelhada ou churrasqueada, sem gordura adicionada  "
"Mackerel, baked, roasted, grilled, BBQ'd, fried or deep fried, fat not further defined","Cavala, assada, tostada, grelhada, churrasqueada, frita ou frita em imersão, gordura não definida"
"Mackerel, coated, takeaway outlet, deep fried","Cavala, empanada, ponto de venda para viagem, frita  "
"Mackerel, canned","Cavala, enlatada  "
"Milkfish, raw","Peixe-leite, cru  "
"Milkfish, boiled, microwaved, steamed or poached, with or without added fat","Peixe-leite, cozido, aquecido no micro-ondas, no vapor ou escalfado, com ou sem gordura adicionada  "
"Morwong, raw","Morwong, cru"
"Morwong, boiled, microwaved, steamed or poached, with or without added fat","Morwong, cozido, no micro-ondas, no vapor ou escalfado, com ou sem gordura adicionada  "
"Mullet, raw","Mullet, cru  "
"Mullet, baked, roasted, grilled, BBQ'd, fried or deep fried, fat not further defined","Mullet, assado, torrado, grelhado, na churrasqueira, frito ou frito em imersão, gordura não definida  "
"Mullet, boiled, microwaved, steamed or poached, with or without added fat","Mullet, cozido, no micro-ondas, no vapor ou escalfado, com ou sem gordura adicionada  "
"Mullet, coated, takeaway outlet, deep fried","Mullet, empanado, em estabelecimento de comida para viagem, frito em imersão"
"Mulloway, raw","Mulloway, cru  "
"Mulloway, baked, roasted, grilled, BBQ'd, fried or deep fried, fat not further defined","Mulloway, assado, tostado, grelhado, na churrasqueira, frito ou frito em imersão, gordura não definida  "
"Mulloway, boiled, microwaved, steamed or poached, with or without added fat","Mulloway, cozido, no micro-ondas, no vapor ou escalfado, com ou sem gordura adicionada  "
"Mulloway, coated, fried or deep fried, fat not further defined","Mulloway, empanado, frito ou frito em imersão, gordura não definida  "
"Nile perch, baked, roasted, fried, grilled or BBQ'd, no added fat","Perca do Nilo, assada, tostada, frita, grelhada ou na churrasqueira, sem gordura adicionada"
"Nile perch, baked, roasted, grilled, BBQ'd, fried or deep fried, fat not further defined","Perca do Nilo, assada, tostada, grelhada, na churrasqueira, frita ou frita em imersão, gordura não definida  "
"Nile perch, boiled, microwaved, steamed or poached, with or without added fat","Perca do Nilo, cozida, no micro-ondas, no vapor ou escalfada, com ou sem gordura adicionada  "
"Nile perch, coated, baked, roasted, grilled, BBQ'd, fried or deep fried, fat not further defined","Perca do Nilo, empanada, assada, tostada, grelhada, na churrasqueira, frita ou frita em imersão, gordura não definida  "
"Nile perch, coated, takeaway outlet, deep fried","Perca do Nilo, empanada, de estabelecimento de comida para viagem, frita em imersão  "
"Orange roughy, raw","Peixe-laranja, cru"
"Orange roughy, boiled, microwaved, steamed or poached, no added fat","Peixe-laranja, cozido, micro-ondas, no vapor ou escalfado, sem gordura adicionada  "
"Salmon, Atlantic, raw","Salmão, atlântico, cru  "
"Salmon, Pacific king, raw","Salmão, rei do Pacífico, cru  "
"Salmon, raw, not further defined","Salmão, cru, não definido  "
"Salmon, baked, roasted, fried, grilled or BBQ'd, no added fat","Salmão, assado, torrado, frito, grelhado ou na churrasqueira, sem gordura adicionada"
"Salmon, baked, roasted, fried, grilled or BBQ'd, butter, dairy blend or margarine","Salmão, assado, torrado, frito, grelhado ou na churrasqueira, manteiga, mistura láctea ou margarina  "
"Salmon, baked, roasted, grilled, BBQ'd, fried or deep fried, canola oil","Salmão, assado, torrado, grelhado, na churrasqueira, frito ou frito em imersão, óleo de canola  "
"Salmon, baked, roasted, grilled, BBQ'd, fried or deep fried, olive oil","Salmão, assado, torrado, grelhado, na churrasqueira, frito ou frito em imersão, óleo de oliva  "
"Salmon, baked, roasted, grilled, BBQ'd, fried or deep fried, other oil","Salmão, assado, torrado, grelhado, na churrasqueira, frito ou frito em imersão, outro óleo  "
"Salmon, baked, roasted, grilled, BBQ'd, fried or deep fried, fat not further defined","Salmão, assado, torrado, grelhado, na churrasqueira, frito ou frito em imersão, gordura não definida mais detalhadamente"
"Salmon, boiled, microwaved, steamed or poached, with or without added fat","Salmão, cozido, no micro-ondas, no vapor ou escalfado, com ou sem gordura adicionada  "
"Salmon, coated, baked, roasted, fried, grilled or BBQ'd, no added fat","Salmão, empanado, assado, torrado, frito, grelhado ou na churrasqueira, sem gordura adicionada  "
"Salmon, coated, baked, roasted, fried, grilled or BBQ'd, fat not further defined","Salmão, empanado, assado, torrado, frito, grelhado ou na churrasqueira, gordura não definida  "
"Salmon, sashimi style, raw","Salmão, estilo sashimi, cru  "
"Sardine, raw","Sardinha, crua"
"Sardine, cooked, not further defined","Sardinha, cozida, não definida  "
"Shark (flake), raw","Tubarão (lascas), cru  "
"Shark (flake), baked, roasted, fried, grilled or BBQ'd, no added fat","Tubarão (lascas), assado, tostado, frito, grelhado ou na churrasqueira, sem gordura adicionada  "
"Shark (flake), baked, roasted, grilled, BBQ'd, fried or deep fried, fat not further defined","Tubarão (lascas), assado, tostado, grelhado, na churrasqueira, frito ou frito em imersão, gordura não definida  "
"Shark (flake), boiled, microwaved, steamed or poached, with or without added fat","Tubarão (lascas), cozido, no micro-ondas, cozido no vapor ou escalfado, com ou sem gordura adicionada"
"Shark (flake), coated, takeaway outlet, deep fried","Tubarão (lasca), empanado, comida para viagem, frito  "
"Shark (flake), coated, baked, roasted, grilled or BBQ'd, fat not further defined","Tubarão (lasca), empanado, assado, grelhado ou na churrasqueira, gordura não definida  "
"Shark (flake), coated, packaged frozen, baked, roasted, fried, grilled or BBQ'd, with or without added fat","Tubarão (lasca), empanado, embalado congelado, assado, grelhado, frito ou na churrasqueira, com ou sem gordura adicionada  "
"Silver perch, raw","Perch prateado, cru  "
"Silver perch, baked, roasted, fried, grilled or BBQ'd, no added fat","Perch prateado, assado, grelhado, frito ou na churrasqueira, sem gordura adicionada"
"Silver perch, baked, roasted, grilled, BBQ'd, fried or deep fried, fat not further defined","perca prateada, assada, tostada, grelhada, churrasqueada, frita ou frita em imersão, gordura não definida  "
"Silver perch, boiled, microwaved, steamed or poached, with or without added fat","perca prateada, cozida, no micro-ondas, no vapor ou escalfada, com ou sem gordura adicionada  "
"Snapper, raw","pargo, cru  "
"Snapper, baked, roasted, fried, grilled or BBQ'd, no added fat","pargo, assado, tostado, frito, grelhado ou churrasqueado, sem gordura adicionada  "
"Snapper, baked, roasted, fried, grilled or BBQ'd, butter, dairy blend or margarine","pargo, assado, tostado, frito, grelhado ou churrasqueado, manteiga, mistura láctea ou margarina"
"Snapper, baked, roasted, fried, grilled or BBQ'd, canola oil","Pargo, assado, torrado, frito, grelhado ou na churrasqueira, óleo de canola  "
"Snapper, baked, roasted, grilled, BBQ'd, fried or deep fried, olive oil","Pargo, assado, torrado, grelhado, na churrasqueira, frito ou frito em imersão, óleo de oliva  "
"Snapper, baked, roasted, grilled, BBQ'd, fried or deep fried, other oil","Pargo, assado, torrado, grelhado, na churrasqueira, frito ou frito em imersão, outro óleo  "
"Snapper, baked, roasted, grilled, BBQ'd, fried or deep fried, fat not further defined","Pargo, assado, torrado, grelhado, na churrasqueira, frito ou frito em imersão, gordura não definida  "
"Snapper, boiled, microwaved, steamed or poached, with or without added fat","Pargo, cozido, no micro-ondas, no vapor ou escalfado, com ou sem gordura adicionada"
"Snapper, coated, baked, roasted, fried, deep fried, grilled or BBQ'd, fat not further defined","Pargo, empanado, assado, torrado, frito, frito em imersão, grelhado ou na churrasqueira, gordura não definida  "
"Snapper, coated, takeaway outlet, deep fried","Pargo, empanado, ponto de venda de comida para viagem, frito em imersão  "
"Stingray, wild caught, flesh, baked, roasted, fried, grilled or BBQ'd, no added fat","Raia, capturada na natureza, carne, assada, torrada, frita, grelhada ou na churrasqueira, sem gordura adicionada  "
"Swordfish, raw","Peixe-espada, cru  "
"Swordfish, baked, roasted, fried, grilled or BBQ'd, no added fat","Peixe-espada, assado, torrado, frito, grelhado ou na churrasqueira, sem gordura adicionada"
"Swordfish, baked, roasted, grilled, BBQ'd, fried or deep fried, fat not further defined","Peixe-espada, assado, tostado, grelhado, churrasco, frito ou frito em imersão, gordura não definida  "
"Tilapia, raw","Tilápia, crua  "
"Tilapia, boiled, microwaved, steamed or poached, no added fat","Tilápia, cozida, no micro-ondas, no vapor ou escalfada, sem gordura adicionada  "
"Trevally or kingfish, raw","Carapau ou peixe-rei, cru  "
"Trevally or kingfish, cooked, no fat added","Carapau ou peixe-rei, cozido, sem gordura adicionada"
"Trevally or kingfish, baked, roasted, grilled, BBQ'd, fried or deep fried, fat not further defined","Cavala ou peixe-rei, assado, torrado, grelhado, na churrasqueira, frito ou frito em imersão, gordura não definida"
"Trevally or kingfish, coated, baked, roasted, fried, deep fried, grilled or BBQ'd, fat not further defined","Cavala ou peixe-rei, empanado, assado, torrado, frito, frito em imersão, grelhado ou na churrasqueira, gordura não definida"
"Trout, coral, cooked, with or without added fat","Truta, coral, cozida, com ou sem gordura adicionada"
"Trout, rainbow, raw","Truta, arco-íris, crua"
"Trout, rainbow, baked, roasted, fried, grilled or BBQ'd, no added fat","Truta, arco-íris, assada, torrada, frita, grelhada ou na churrasqueira, sem gordura adicionada"
"Trout, rainbow, baked, roasted, grilled, BBQ'd, fried or deep fried, fat not further defined","Truta, arco-íris, assada, tostada, grelhada, na churrasqueira, frita ou frita em imersão, gordura não definida"
"Trout, rainbow, coated, baked, roasted, fried, deep fried, grilled or BBQ'd, fat not further defined","Truta, arco-íris, empanada, assada, tostada, frita, frita em imersão, grelhada ou na churrasqueira, gordura não definida"
"Trout, rainbow, boiled, microwaved, steamed or poached, with or without added fat","Truta, arco-íris, cozida, no micro-ondas, cozida no vapor ou escalfada, com ou sem gordura adicionada"
"Tuna, raw","Atum, cru"
"Tuna, baked, roasted, fried, grilled or BBQ'd, no added fat","Atum, assado, tostado, frito, grelhado ou na churrasqueira, sem gordura adicionada"
"Tuna, baked, roasted, grilled, BBQ'd, fried or deep fried, fat not further defined","Atum, assado, torrado, grelhado, churrasco, frito ou frito em imersão, gordura não definida  "
"Tuna, boiled, microwaved, steamed or poached, with or without added fat","Atum, cozido, no micro-ondas, no vapor ou escalfado, com ou sem gordura adicionada  "
"Tuna, sashimi style, raw","Atum, estilo sashimi, cru  "
"Tuna, tartare (tartar)","Atum, tartare (tártaro)  "
"Turtle, wild caught, flesh, raw","Tartaruga, capturada na natureza, carne, crua"
"Turtle, wild caught, flesh, cooked","Tartaruga, captura selvagem, carne, cozida  "
"Whitebait, floured, fried, not further defined","Bait branco, empanado, frito, não definido  "
"Whiting, raw","Pescada, crua  "
"Whiting, baked, roasted, fried, grilled or BBQ'd, no added fat","Pescada, assada, tostada, frita, grelhada ou na churrasqueira, sem gordura adicionada  "
"Whiting, baked, roasted, grilled, BBQ'd, fried or deep fried, fat not further defined","Pescada, assada, tostada, grelhada, na churrasqueira, frita ou frita em imersão, gordura não definida"
"Whiting, boiled, microwaved, steamed or poached, with or without added fat","Pescada, cozida, no micro-ondas, no vapor ou escalfada, com ou sem gordura adicionada  "
"Whiting, coated, takeaway outlet, deep fried","Pescada, empanada, em estabelecimento de comida para viagem, frita  "
"Whiting, coated, baked, roasted, fried, deep fried, grilled, or BBQ'd, fat not further defined","Pescada, empanada, assada, grelhada, frita, frita em imersão, grelhada ou na churrasqueira, gordura não definida  "
"Whiting, coated, packaged frozen, baked, roasted, fried, grilled, or BBQ'd, with or without added fat","Pescada, empanada, embalada congelada, assada, grelhada, frita, grelhada ou na churrasqueira, com ou sem gordura adicionada  "
"Fish, eel, raw","Peixe, enguia, crua"
"Fish, eel, baked, roasted, fried, stir-fried, grilled or BBQ'd, no added fat","Peixe, enguia, assado, torrado, frito, refogado, grelhado ou churrasco, sem gordura adicionada  "
"Fish, eel, baked, roasted, fried, stir-fried, deep fried, grilled or BBQ'd, fat not further defined","Peixe, enguia, assado, torrado, frito, refogado, frito em imersão, grelhado ou churrasco, gordura não definida  "
"Fish, sashimi, raw, not further defined","Peixe, sashimi, cru, não definido  "
"Fish, white flesh, raw, not further defined","Peixe, carne branca, cru, não definido  "
"Fish, white flesh, baked, roasted, fried, grilled or BBQ'd, no added fat","Peixe, carne branca, assado, torrado, frito, grelhado ou churrasco, sem gordura adicionada"
"Fish, white flesh, baked, roasted, grilled, BBQ'd, fried or deep fried, fat not further defined","Peixe, carne branca, assado, torrado, grelhado, churrasco, frito ou frito em imersão, gordura não definida  "
"Fish, white flesh, boiled, microwaved, steamed or poached, with or without added fat","Peixe, carne branca, cozido, micro-ondas, no vapor ou escalfado, com ou sem gordura adicionada  "
"Fish, white flesh, battered, packaged frozen, baked, roasted, fried, grilled or BBQ'd, with or without added fat","Peixe, carne branca, empanado, embalado congelado, assado, torrado, frito, grelhado ou churrasco, com ou sem gordura adicionada  "
"Fish, white flesh, battered, takeaway outlet, deep fried","Peixe, carne branca, empanado, ponto de venda de comida para viagem, frito em imersão  "
"Fish, white flesh, coated, baked, roasted, fried, deep fried, grilled or BBQ'd, fat not further defined","Peixe, carne branca, revestido, assado, torrado, frito, frito em imersão, grelhado ou churrasco, gordura não definida"
"Fish, white flesh, crumbed, packaged frozen, baked, roasted, fried, grilled or BBQ'd, with or without added fat","Peixe, carne branca, empanado, embalado congelado, assado, torrado, frito, grelhado ou na churrasqueira, com ou sem gordura adicionada  "
"Fish, white flesh, crumbed, takeaway outlet, deep fried","Peixe, carne branca, empanado, ponto de venda de comida para viagem, frito em imersão  "
"Crab, flesh, purchased steamed, poached or boiled","Caranguejo, carne, comprado cozido no vapor, escalfado ou fervido  "
"Crab, flesh, cooked, fat not further defined","Caranguejo, carne, cozido, gordura não definida  "
"Crab, flesh, coated, fried or deep fried, fat not further defined","Caranguejo, carne, empanado, frito ou frito em imersão, gordura não definida"
"Jellyfish, coated, baked, roasted, fried, grilled or BBQ'd, fat not further defined","Água-viva, empanada, assada, tostada, frita, grelhada ou na churrasqueira, gordura não definida  "
"Lobster or crayfish, flesh, purchased steamed, poached or boiled, no added fat","Lagosta ou camarão, carne, comprada cozida no vapor, escaldada ou fervida, sem gordura adicionada  "
"Lobster or crayfish, flesh, coated, fried or deep-fried, fat not further defined","Lagosta ou camarão, carne, empanada, frita ou frita em imersão, gordura não definida  "
"Moreton bay bug or balmain bug, flesh, raw","Camarão de Moreton Bay ou camarão Balmain, carne, crua  "
"Moreton bay bug, cooked, with or without fat","Camarão de Moreton Bay, cozido, com ou sem gordura"
"Mussel, blue, boiled, microwaved, steamed or poached, no added fat","Mexilhão, azul, cozido, no micro-ondas, cozido no vapor ou escalfado, sem gordura adicionada  "
"Mussel, green, boiled, microwaved, steamed or poached, no added fat","Mexilhão, verde, cozido, no micro-ondas, cozido no vapor ou escalfado, sem gordura adicionada  "
"Mussel, cooked, with or without added fat","Mexilhão, cozido, com ou sem gordura adicionada  "
"Octopus, raw","Polvo, cru  "
"Octopus, cooked, with or without added fat","Polvo, cozido, com ou sem gordura adicionada"
"Octopus, marinated, baked, grilled, fried or BBQ'd, fat not further defined","Polvo, marinado, assado, grelhado, frito ou na churrasqueira, gordura não definida"
"Octopus, coated, takeaway outlet, fried, fat not further defined","Polvo, empanado, ponto de venda de comida para viagem, frito, gordura não definida"
"Oyster, raw","Ostra, crua"
"Oyster, cooked, with or without added fat","Ostra, cozida, com ou sem gordura adicionada"
